Recipe Name,Ingredients,Instructions
Kalafilee sidruniga,"Valge kala filee, Sidrun, Oliiviõli, Maitseained, Kartul","Maitsesta kalafilee sidrunimahla ja ürtidega. Küpseta ahjus 180 kraadi juures 20 minutit, serveeri keedetud kartulitega."
Täidetud paprikad,"Paprikad, Hakkliha, Riis, Tomatikaste, Juust","Tükelda paprikate pealsed ja eemalda seemned. Täida hakkliha, riisi ja tomatikastme seguga, kata juustuga. Küpseta 180 kraadi juures 25 minutit."
Nuudliwok köögiviljade ja kanalihaga,"Nuudlid, Kanafilee, Porgand, Paprika, Sojakaste","Keeda nuudlid, prae kanafilee ja köögiviljad, sega kokku sojakastmega."
Minestrone supp,"Makaronid, Porgand, Suvikõrvits, Tomat, Puljong, Oad","Keeda tükeldatud köögiviljad puljongis, lisa makaronid ja oad. Keeda kuni pehme."
Kanafilee parmesani kastmes,"Kanafilee, Parmesan, Koor, Küüslauk, Pasta","Prae kanafilee, lisa koor ja parmesan, hauta kuni pakseneb. Serveeri pastaga."
Sealiha hautis,"Sealiha, Sibul, Kartul, Porgand, Puljong","Prae sealiha ja sibul, lisa puljong ja tükeldatud köögiviljad, hauta kuni liha ja köögiviljad on pehmed."
Tandoori kana,"Kanafilee, Tandoori maitseainesegu, Jogurt, Riis","Maitsesta kanafilee jogurti ja tandoori maitseainega, küpseta ahjus. Serveeri riisiga."
Spagetid lihapallidega,"Hakkliha, Spagetid, Tomatikaste, Sibul, Maitseained","Valmista hakklihast lihapallid, prae pannil, lisa tomatikaste. Serveeri keedetud spagettidega."
Täidetud suvikõrvits,"Suvikõrvits, Hakkliha, Juust, Tomatikaste","Poolita suvikõrvits, eemalda sisu. Täida hakkliha ja tomatikastme seguga, kata juustuga ja küpseta ahjus."
Kreeka salat,"Tomat, Kurk, Feta juust, Oliivid, Punane sibul, Oliiviõli","Tükelda kõik koostisosad ja sega kausis, lisa oliiviõli ja maitsesta."
